date,expiration,option_type,S,strike,bid,ask,market_price,volume,open_interest,days_to_expiration,T,moneyness,moneyness_category,sigma,r,market_price_over_K
2023-08-25,2023-09-08,PUT,440.79,452.5,11.68,11.92,11.8,6,1455,14,0.0383561643835616,0.974121546961326,ATM,17.2,0.0556,0.026077348066298345
2023-08-25,2023-09-05,PUT,440.79,438.0,2.23,2.24,2.2350000000000003,1732,331,11,0.0301369863013698,1.0063698630136986,ATM,17.2,0.0556,0.005102739726027398
2023-08-25,2023-09-08,PUT,440.79,452.0,11.23,11.46,11.345,9,2439,14,0.0383561643835616,0.9751991150442476,ATM,17.2,0.0556,0.025099557522123894
2023-08-25,2023-09-15,PUT,440.79,401.0,0.34,0.35,0.345,401,12396,21,0.0575342465753424,1.099226932668329,ITM,17.2,0.0556,0.0008603491271820448
2023-08-25,2023-09-15,PUT,440.79,402.0,0.36,0.37,0.365,8558,16937,21,0.0575342465753424,1.0964925373134329,ITM,17.2,0.0556,0.0009079601990049751
2023-08-25,2023-09-15,PUT,440.79,412.0,0.62,0.63,0.625,922,21636,21,0.0575342465753424,1.069878640776699,ITM,17.2,0.0556,0.001516990291262136
2023-08-25,2023-09-15,PUT,440.79,411.0,0.58,0.59,0.585,453,6262,21,0.0575342465753424,1.0724817518248175,ITM,17.2,0.0556,0.0014233576642335767
2023-08-25,2023-09-15,PUT,440.79,410.0,0.55,0.56,0.555,11464,78490,21,0.0575342465753424,1.0750975609756095,ITM,17.2,0.0556,0.001353658536585366
2023-08-25,2023-09-15,PUT,440.79,409.0,0.51,0.52,0.515,583,20279,21,0.0575342465753424,1.077726161369193,ITM,17.2,0.0556,0.0012591687041564792
2023-08-25,2023-09-15,PUT,440.79,408.0,0.49,0.5,0.495,191,15755,21,0.0575342465753424,1.0803676470588237,ITM,17.2,0.0556,0.0012132352941176471
2023-08-25,2023-09-15,PUT,440.79,407.0,0.46,0.47,0.4649999999999999,988,12799,21,0.0575342465753424,1.083022113022113,ITM,17.2,0.0556,0.0011425061425061423
2023-08-25,2023-09-15,PUT,440.79,406.0,0.44,0.45,0.445,392,12879,21,0.0575342465753424,1.0856896551724138,ITM,17.2,0.0556,0.0010960591133004926
2023-08-25,2023-09-08,PUT,440.79,455.0,14.09,14.32,14.205,18,177,14,0.0383561643835616,0.9687692307692308,OTM,17.2,0.0556,0.03121978021978022
2023-08-25,2023-08-30,PUT,440.79,427.0,0.12,0.13,0.125,3440,4989,5,0.0136986301369863,1.032295081967213,ITM,17.2,0.0556,0.0002927400468384075
2023-08-25,2023-08-30,PUT,440.79,428.0,0.14,0.15,0.145,3681,996,5,0.0136986301369863,1.0298831775700934,ATM,17.2,0.0556,0.00033878504672897196
2023-08-25,2023-08-30,PUT,440.79,429.0,0.17,0.18,0.175,3547,1054,5,0.0136986301369863,1.0274825174825173,ATM,17.2,0.0556,0.0004079254079254079
2023-08-25,2023-08-30,PUT,440.79,436.0,0.85,0.86,0.855,10152,10747,5,0.0136986301369863,1.01098623853211,ATM,17.2,0.0556,0.0019610091743119265
