date,expiration,option_type,S,strike,bid,ask,market_price,volume,open_interest,days_to_expiration,T,moneyness,moneyness_category,sigma,r,market_price_over_K
2023-08-25,2023-09-01,CALL,440.79,418.0,23.27,23.5,23.385,8,395,7,0.0191780821917808,1.0545215311004783,ITM,17.2,0.0556,0.05594497607655503
2023-08-25,2023-09-01,CALL,440.79,417.0,24.26,24.5,24.380000000000003,2,18,7,0.0191780821917808,1.05705035971223,ITM,17.2,0.0556,0.05846522781774581
2023-08-25,2023-09-01,CALL,440.79,415.0,26.25,26.48,26.365,10,129,7,0.0191780821917808,1.0621445783132528,ITM,17.2,0.0556,0.0635301204819277
2023-08-25,2023-09-01,CALL,440.79,414.0,27.24,27.48,27.36,20,101,7,0.0191780821917808,1.0647101449275362,ITM,17.2,0.0556,0.06608695652173913
2023-08-25,2023-09-01,CALL,440.79,405.0,36.2,36.43,36.315,2,258,7,0.0191780821917808,1.0883703703703702,ITM,17.2,0.0556,0.08966666666666666
2023-08-25,2023-09-01,CALL,440.79,421.0,20.31,20.53,20.42,14,50,7,0.0191780821917808,1.0470071258907363,ITM,17.2,0.0556,0.04850356294536817
2023-08-25,2023-09-01,CALL,440.79,427.0,14.48,14.69,14.585,13,379,7,0.0191780821917808,1.032295081967213,ITM,17.2,0.0556,0.03415690866510539
2023-08-25,2023-09-01,CALL,440.79,437.0,5.9,5.95,5.925000000000001,11059,4541,7,0.0191780821917808,1.0086727688787185,ATM,17.2,0.0556,0.013558352402745997
2023-08-25,2023-09-01,CALL,440.79,436.0,6.65,6.7,6.675000000000001,4340,2857,7,0.0191780821917808,1.01098623853211,ATM,17.2,0.0556,0.015309633027522937
2023-08-25,2023-09-01,CALL,440.79,435.0,7.4,7.5,7.45,4988,6112,7,0.0191780821917808,1.0133103448275862,ATM,17.2,0.0556,0.017126436781609196
2023-08-25,2023-09-01,CALL,440.79,434.0,8.19,8.34,8.265,791,1928,7,0.0191780821917808,1.0156451612903226,ATM,17.2,0.0556,0.019043778801843318
2023-08-25,2023-09-01,CALL,440.79,433.0,9.03,9.19,9.11,393,1813,7,0.0191780821917808,1.0179907621247113,ATM,17.2,0.0556,0.021039260969976905
2023-08-25,2023-09-01,CALL,440.79,432.0,9.89,10.06,9.975,100,2973,7,0.0191780821917808,1.020347222222222,ATM,17.2,0.0556,0.023090277777777776
2023-08-25,2023-09-01,CALL,440.79,431.0,10.77,10.95,10.86,155,1624,7,0.0191780821917808,1.0227146171693735,ATM,17.2,0.0556,0.02519721577726218
2023-08-25,2023-09-01,CALL,440.79,430.0,11.68,11.87,11.775,312,2907,7,0.0191780821917808,1.025093023255814,ATM,17.2,0.0556,0.027383720930232558
2023-08-25,2023-09-01,CALL,440.79,429.0,12.6,12.8,12.7,144,564,7,0.0191780821917808,1.0274825174825173,ATM,17.2,0.0556,0.029603729603729603
2023-08-25,2023-09-01,CALL,440.79,420.0,21.29,21.53,21.41,267,2690,7,0.0191780821917808,1.0495,ITM,17.2,0.0556,0.050976190476190474
2023-08-25,2023-09-01,CALL,440.79,428.0,13.53,13.74,13.635,163,695,7,0.0191780821917808,1.0298831775700934,ATM,17.2,0.0556,0.03185747663551402
2023-08-25,2023-09-01,CALL,440.79,426.0,15.43,15.65,15.54,61,198,7,0.0191780821917808,1.0347183098591548,ITM,17.2,0.0556,0.03647887323943662
2023-08-25,2023-09-01,CALL,440.79,423.0,18.35,18.57,18.46,16,64,7,0.0191780821917808,1.0420567375886525,ITM,17.2,0.0556,0.04364066193853428
2023-08-25,2023-11-17,CALL,440.79,418.0,31.32,31.94,31.630000000000003,1,1603,84,0.2301369863013698,1.0545215311004783,ITM,17.2,0.055919354838709676,0.07566985645933015
2023-08-25,2023-11-17,CALL,440.79,417.0,32.16,32.78,32.47,1,22,84,0.2301369863013698,1.05705035971223,ITM,17.2,0.055919354838709676,0.07786570743405276
2023-08-25,2023-11-17,CALL,440.79,439.0,15.55,15.61,15.58,299,2308,84,0.2301369863013698,1.0040774487471524,ATM,17.2,0.055919354838709676,0.035489749430523916
2023-08-25,2023-11-17,CALL,440.79,438.0,16.22,16.3,16.259999999999998,314,3886,84,0.2301369863013698,1.0063698630136986,ATM,17.2,0.055919354838709676,0.03712328767123287
2023-08-25,2023-11-17,CALL,440.79,437.0,16.91,16.99,16.95,584,3247,84,0.2301369863013698,1.0086727688787185,ATM,17.2,0.055919354838709676,0.03878718535469108
2023-08-25,2023-11-17,CALL,440.79,436.0,17.61,17.69,17.65,185,2665,84,0.2301369863013698,1.01098623853211,ATM,17.2,0.055919354838709676,0.04048165137614679
2023-08-25,2023-11-17,CALL,440.79,435.0,18.32,18.39,18.355,845,3998,84,0.2301369863013698,1.0133103448275862,ATM,17.2,0.055919354838709676,0.042195402298850576
2023-08-25,2023-11-17,CALL,440.79,434.0,19.02,19.12,19.07,12,1160,84,0.2301369863013698,1.0156451612903226,ATM,17.2,0.055919354838709676,0.04394009216589862
2023-08-25,2023-11-17,CALL,440.79,433.0,19.76,19.86,19.81,100,2561,84,0.2301369863013698,1.0179907621247113,ATM,17.2,0.055919354838709676,0.04575057736720554
2023-08-25,2023-11-17,CALL,440.79,432.0,20.5,20.6,20.55,148,1495,84,0.2301369863013698,1.020347222222222,ATM,17.2,0.055919354838709676,0.04756944444444445
2023-08-25,2023-11-17,CALL,440.79,431.0,21.23,21.34,21.285,60,82,84,0.2301369863013698,1.0227146171693735,ATM,17.2,0.055919354838709676,0.04938515081206497
2023-08-25,2023-11-17,CALL,440.79,430.0,21.98,22.08,22.03,93,3066,84,0.2301369863013698,1.025093023255814,ATM,17.2,0.055919354838709676,0.05123255813953489
2023-08-25,2023-11-17,CALL,440.79,429.0,22.67,22.88,22.775,1,739,84,0.2301369863013698,1.0274825174825173,ATM,17.2,0.055919354838709676,0.05308857808857809
2023-08-25,2023-09-15,CALL,440.79,461.0,0.23,0.24,0.235,7190,12035,21,0.0575342465753424,0.9561605206073752,OTM,17.2,0.0556,0.000509761388286334
2023-08-25,2023-09-15,CALL,440.79,460.0,0.28,0.29,0.285,3373,80427,21,0.0575342465753424,0.9582391304347824,OTM,17.2,0.0556,0.0006195652173913043
2023-08-25,2023-09-01,CALL,440.79,425.0,16.4,16.62,16.509999999999998,118,944,7,0.0191780821917808,1.0371529411764706,ITM,17.2,0.0556,0.03884705882352941
2023-08-25,2023-09-01,CALL,440.79,424.0,17.37,17.59,17.48,16,172,7,0.0191780821917808,1.0395990566037736,ITM,17.2,0.0556,0.04122641509433962
2023-08-25,2023-09-01,CALL,440.79,422.0,19.33,19.55,19.44,1,885,7,0.0191780821917808,1.0445260663507108,ITM,17.2,0.0556,0.046066350710900476
2023-08-25,2023-08-31,CALL,440.79,452.0,0.12,0.13,0.125,656,1977,6,0.0164383561643835,0.9751991150442476,ATM,17.2,0.0556,0.0002765486725663717
2023-08-25,2023-08-31,CALL,440.79,440.0,3.5,3.52,3.51,11965,3696,6,0.0164383561643835,1.0017954545454544,ATM,17.2,0.0556,0.007977272727272727
2023-08-25,2023-08-31,CALL,440.79,439.0,4.13,4.15,4.140000000000001,8272,3134,6,0.0164383561643835,1.0040774487471524,ATM,17.2,0.0556,0.009430523917995445
2023-08-25,2023-09-05,CALL,440.79,427.0,14.72,14.93,14.825,5,8,11,0.0301369863013698,1.032295081967213,ITM,17.2,0.0556,0.034718969555035124
2023-08-25,2023-09-05,CALL,440.79,437.0,6.29,6.35,6.32,1339,295,11,0.0301369863013698,1.0086727688787185,ATM,17.2,0.0556,0.014462242562929063
2023-08-25,2023-09-05,CALL,440.79,436.0,7.03,7.1,7.065,414,191,11,0.0301369863013698,1.01098623853211,ATM,17.2,0.0556,0.016204128440366974
2023-08-25,2023-09-05,CALL,440.79,435.0,7.82,7.88,7.85,223,199,11,0.0301369863013698,1.0133103448275862,ATM,17.2,0.0556,0.01804597701149425
2023-08-25,2023-09-05,CALL,440.79,434.0,8.56,8.7,8.629999999999999,29,28,11,0.0301369863013698,1.0156451612903226,ATM,17.2,0.0556,0.01988479262672811
2023-08-25,2023-09-05,CALL,440.79,433.0,9.38,9.53,9.455,25,44,11,0.0301369863013698,1.0179907621247113,ATM,17.2,0.0556,0.021836027713625868
2023-08-25,2023-09-05,CALL,440.79,432.0,10.23,10.39,10.31,7,14,11,0.0301369863013698,1.020347222222222,ATM,17.2,0.0556,0.023865740740740743
